Date,Date,Open,High,Low,Close,Adj Close,Volume
29-12-2015,42367,1229.180054,1232.650024,1222.880005,1227.900024,1105.552124,1708524
30-12-2015,42368,1226.530029,1229.5,1206.150024,1209.150024,1088.669922,1605762
31-12-2015,42369,1207.880005,1224.25,1203.75,1218.430054,1097.025635,1240318
01-01-2016,42370,1219.5,1219.5,1206.119995,1208.199951,1087.814697,712262
04-01-2016,42373,1205.069946,1207,1183.030029,1184.800049,1066.746094,1870184
05-01-2016,42374,1192.5,1193.300049,1170.5,1174.469971,1057.445435,2678020
06-01-2016,42375,1175.099976,1193.069946,1175.099976,1190.800049,1072.148193,2653228
07-01-2016,42376,1185,1191.449951,1180,1185.619995,1067.484253,3199580
08-01-2016,42377,1192.5,1203.680054,1186.25,1198.800049,1079.35144,1907544
11-01-2016,42380,1191.25,1192,1174.430054,1181.180054,1063.487183,2930228
12-01-2016,42381,1181.349976,1182.5,1150.800049,1163.530029,1047.595581,3482594
13-01-2016,42382,1158.5,1163.5,1127.550049,1139.599976,1026.049927,4746092
14-01-2016,42383,1136.5,1149.449951,1125,1139.400024,1025.869873,2742052
15-01-2016,42384,1144.430054,1145.849976,1127.5,1130.550049,1017.901733,3269408
18-01-2016,42387,1131,1145.949951,1130,1138.819946,1025.347656,2213922
19-01-2016,42388,1138.5,1150,1134.150024,1139.650024,1026.095093,967910
20-01-2016,42389,1136.900024,1142.5,1121.5,1140.050049,1026.455322,1615954
21-01-2016,42390,1142.5,1144.949951,1122.880005,1127.25,1019.850769,2675536
22-01-2016,42391,1136.5,1151.030029,1130,1147.880005,1038.515137,1343178
25-01-2016,42394,1150.949951,1169.5,1145.75,1152.319946,1042.532104,1397560
27-01-2016,42396,1151,1164.969971,1140.949951,1159.880005,1049.371704,1626986
28-01-2016,42397,1157.75,1174.449951,1154.030029,1165.599976,1054.546875,3106660
29-01-2016,42398,1179.349976,1200,1167.530029,1195.650024,1081.733887,2235744
01-02-2016,42401,1195.550049,1206.469971,1179.5,1201.349976,1086.890869,1495274
02-02-2016,42402,1204.5,1216.5,1189.849976,1199.050049,1084.809692,1475588
03-02-2016,42403,1193.75,1214.949951,1180.150024,1208.150024,1093.042847,1308692
04-02-2016,42404,1210.949951,1220,1201,1210.030029,1094.743652,1250046
05-02-2016,42405,1204.050049,1219.969971,1204.050049,1210.969971,1095.593994,1402996
08-02-2016,42408,1200,1206.030029,1173.5,1181.469971,1068.904541,1063658
09-02-2016,42409,1166.800049,1166.800049,1127.800049,1140.699951,1032.018921,2489610
10-02-2016,42410,1137.5,1144.949951,1129.050049,1134.400024,1026.319214,1890732
11-02-2016,42411,1140,1144.5,1085.819946,1098.969971,994.265076,1962408
12-02-2016,42412,1100,1121.699951,1082,1113.300049,1007.229736,2172568
15-02-2016,42415,1125,1153.430054,1120,1134.569946,1026.473389,2479712
16-02-2016,42416,1133,1141,1121.5,1132.780029,1024.853516,1588702
17-02-2016,42417,1132.5,1139.819946,1123.199951,1137.780029,1029.377319,1585178
18-02-2016,42418,1142.5,1159.880005,1139,1157.930054,1047.607666,1529140
19-02-2016,42419,1153.680054,1163.5,1152.719971,1159.819946,1049.317505,879012
22-02-2016,42422,1160.119995,1171.5,1152.5,1157.949951,1047.625732,1324884
23-02-2016,42423,1155.119995,1159.949951,1128.380005,1132,1024.148071,1306852
24-02-2016,42424,1131.219971,1131.219971,1100.599976,1105.469971,1000.145813,1659328
25-02-2016,42425,1109.900024,1114,1092.819946,1106.430054,1001.014404,1830556
26-02-2016,42426,1114.849976,1128.449951,1099.800049,1105.25,999.946899,1537536
29-02-2016,42429,1118.5,1118.5,1057.5,1088.400024,984.702148,2191718
01-03-2016,42430,1096.5,1142.550049,1081,1138.319946,1029.865967,1999760
02-03-2016,42431,1152.5,1165,1128.119995,1159.430054,1048.965088,1527486
03-03-2016,42432,1168,1195.5,1150.5,1186.569946,1073.518921,2648284
04-03-2016,42433,1190,1190,1174.780029,1178.780029,1066.471313,1512966
08-03-2016,42437,1171.050049,1183.5,1152.099976,1177.150024,1064.99646,1268152
09-03-2016,42438,1170.5,1184.699951,1147.569946,1178.619995,1066.326172,2017784
10-03-2016,42439,1178.030029,1179.930054,1157.469971,1174.150024,1062.282104,1661666
11-03-2016,42440,1170,1195.430054,1167.5,1182.619995,1069.945313,1530528
14-03-2016,42443,1181,1199,1170,1177.5,1065.312988,1636742
15-03-2016,42444,1174.530029,1181.75,1160.050049,1164.949951,1053.958862,1623356
